HIP	RA2000	DE2000	Vmag	Name
3	0.000333	38.859167	6.61	
19	0.003556	38.303889	6.53	
25	0.005292	-44.290278	6.28	
34	0.006631	26.918056	6.43	
43	0.008606	59.559722	6.18	
50	0.009525	-53.097500	6.49	
63	0.012117	45.253333	6.36	
88	0.017944	-48.809722	5.71	
106	0.022011	49.981389	6.22	
107	0.022253	-50.337222	5.53	
122	0.026625	-77.065278	4.78	
124	0.026950	61.222778	5.58	
128	0.027583	73.611667	6.50	
133	0.028225	-40.148611	6.62	
136	0.028575	24.253056	6.60	
137	0.028847	42.366944	6.25	
145	0.030400	-3.027222	5.13	
154	0.032664	-6.013889	4.37	
171	0.036014	27.084444	5.80	
183	0.038864	-29.720278	5.04	
186	0.040047	8.956667	6.33	
194	0.041600	8.485556	5.70	
207	0.043356	66.098889	5.87	
238	0.049286	-20.045833	6.25	
253	0.052172	-24.145000	6.46	
258	0.053689	17.552222	6.59	
274	0.057144	63.640278	6.24	
301	0.062325	-17.335833	4.55	
302	0.064342	66.711944	6.31	
330	0.070461	62.287500	5.90	
343	0.072156	-16.528889	5.78	
345	0.072306	-29.268611	6.38	
355	0.075033	-10.509444	4.99	
365	0.076833	42.092500	6.11	
377	0.078125	-71.436667	5.59	
379	0.078289	67.166389	5.68	
394	0.081447	34.659444	6.09	
398	0.081936	58.531944	6.61	
399	0.082203	26.648611	6.25	
410	0.083647	27.674722	6.47	
417	0.084389	-0.502778	6.32	
418	0.085036	61.313889	5.80	
443	0.088931	-5.707778	4.61	
476	0.094983	13.396111	5.55	
502	0.100150	28.276944	6.62	
508	0.101183	40.418333	6.65	
518	0.104317	58.436667	5.98	
522	0.105183	-49.075000	5.70	
531	0.107369	64.196111	5.57	
540	0.109875	28.553333	6.68	
544	0.110147	29.021944	6.07	
560	0.113894	-23.107222	6.19	
602	0.121742	-17.386944	6.20	
635	0.128917	-2.548611	6.43	
636	0.129683	-22.508333	5.93	
655	0.134311	-33.529167	5.67	
664	0.136692	-2.447500	6.18	
671	0.138208	-8.823889	5.99	
677	0.139769	29.090833	2.07	Alpheratz
695	0.142464	63.203889	6.41	
696	0.142636	-17.577778	6.11	
699	0.144728	36.627222	6.21	
716	0.147797	25.462778	6.24	
728	0.150044	28.247500	6.47	
729	0.150650	18.211944	5.57	
730	0.150653	-54.001944	6.32	
746	0.152803	59.150000	2.28	Caph
760	0.155508	79.714444	6.01	
761	0.155839	-27.987778	5.42	
765	0.156817	-45.746944	3.88	
798	0.164472	-62.296667	6.34	
813	0.167272	11.145556	5.54	
814	0.167297	-82.223889	5.29	
840	0.171903	-5.248333	5.84	
841	0.172011	46.072222	5.01	
865	0.177308	-73.224444	6.66	
873	0.178542	-12.579722	5.84	
902	0.185528	57.587778	6.68	
910	0.187753	-15.467222	4.89	
930	0.192894	-27.799722	5.41	
950	0.195525	-35.133333	5.24	
966	0.198925	-42.171944	6.53	
967	0.199731	48.152222	6.18	
969	0.200367	23.471667	6.58	
973	0.200839	-13.813056	6.56	
